# Time-averaged data for fix gr
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
500 200
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
7 0.08125 0 0
8 0.09375 0 0
9 0.10625 0 0
10 0.11875 0 0
11 0.13125 0 0
12 0.14375 0 0
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0.034646 0.00244898
69 0.85625 0.0227601 0.00408163
70 0.86875 0.224326 0.0204082
71 0.88125 0.420175 0.0514286
72 0.89375 1.04665 0.129796
73 0.90625 1.6881 0.257959
74 0.91875 2.64087 0.461224
75 0.93125 3.49483 0.733878
76 0.94375 4.71851 1.10694
77 0.95625 4.7893 1.49061
78 0.96875 4.98902 1.89551
79 0.98125 4.79637 2.2898
80 0.99375 4.41246 2.65714
81 1.00625 3.9703 2.99184
82 1.01875 3.56769 3.29633
83 1.03125 3.17483 3.57061
84 1.04375 2.69803 3.80653
85 1.05625 2.38012 4.01714
86 1.06875 2.01494 4.19755
87 1.08125 1.8114 4.36163
88 1.09375 1.90652 4.53633
89 1.10625 1.61192 4.68571
90 1.11875 1.27164 4.8049
91 1.13125 1.05086 4.90449
92 1.14375 1.03086 5.00327
93 1.15625 0.927014 5.09306
94 1.16875 0.708668 5.16245
95 1.18125 0.791908 5.24082
96 1.19375 0.750965 5.31592
97 1.20625 0.646246 5.38122
98 1.21875 0.527685 5.4351
99 1.23125 0.482757 5.4849
100 1.24375 0.470071 5.53388
101 1.25625 0.411098 5.57714
102 1.26875 0.391687 5.61878
103 1.28125 0.342235 5.65551
104 1.29375 0.376587 5.69633
105 1.30625 0.395362 5.73959
106 1.31875 0.362059 5.77959
107 1.33125 0.358659 5.81959
108 1.34375 0.427837 5.86776
109 1.35625 0.395156 5.91265
110 1.36875 0.37019 5.9551
111 1.38125 0.395058 6.00082
112 1.39375 0.307619 6.03673
113 1.40625 0.325672 6.0751
114 1.41875 0.288462 6.10939
115 1.43125 0.25871 6.14041
116 1.44375 0.310464 6.17796
117 1.45625 0.287725 6.21306
118 1.46875 0.311814 6.25143
119 1.48125 0.276291 6.28571
120 1.49375 0.345735 6.32898
121 1.50625 0.329927 6.37061
122 1.51875 0.263053 6.40408
123 1.53125 0.407267 6.45633
124 1.54375 0.340849 6.50041
125 1.55625 0.444554 6.55837
126 1.56875 0.515549 6.62612
127 1.58125 0.474499 6.68898
128 1.59375 0.538032 6.76082
129 1.60625 0.588442 6.84
130 1.61875 0.620016 6.92408
131 1.63125 0.752654 7.02694
132 1.64375 0.74693 7.1298
133 1.65625 0.806009 7.24163
134 1.66875 0.881721 7.3649
135 1.68125 1.1012 7.52
136 1.69375 0.8572 7.64163
137 1.70625 1.02796 7.78857
138 1.71875 0.997804 7.93224
139 1.73125 1.13131 8.09633
140 1.74375 1.24614 8.27837
141 1.75625 1.33159 8.47429
142 1.76875 1.1514 8.6449
143 1.78125 1.20349 8.82449
144 1.79375 1.21683 9.00735
145 1.80625 1.33789 9.2098
146 1.81875 1.53764 9.44408
147 1.83125 1.58035 9.68653
148 1.84375 1.43751 9.90857
149 1.85625 1.7638 10.1829
150 1.86875 2.044 10.5029
151 1.88125 1.86467 10.7967
152 1.89375 2.15079 11.138
153 1.90625 2.04468 11.4645
154 1.91875 2.07199 11.7976
155 1.93125 2.29067 12.1682
156 1.94375 2.01526 12.4963
157 1.95625 1.77824 12.7878
158 1.96875 1.96492 13.1118
159 1.98125 1.82957 13.4155
160 1.99375 1.69591 13.6988
161 2.00625 1.43765 13.9404
162 2.01875 1.48184 14.191
163 2.03125 1.29523 14.4114
164 2.04375 1.25393 14.6261
165 2.05625 1.05202 14.8073
166 2.06875 1.0645 14.9918
167 2.08125 1.09088 15.182
168 2.09375 1.00525 15.3584
169 2.10625 0.804979 15.5004
170 2.11875 1.00259 15.6784
171 2.13125 0.89155 15.8376
172 2.14375 0.963623 16.0106
173 2.15625 0.926403 16.178
174 2.16875 0.790767 16.3216
175 2.18125 0.768366 16.462
176 2.19375 0.755105 16.6008
177 2.20625 0.702243 16.7306
178 2.21875 0.702679 16.8612
179 2.23125 0.676907 16.9878
180 2.24375 0.642736 17.1086
181 2.25625 0.703956 17.2416
182 2.26875 0.515395 17.3396
183 2.28125 0.589456 17.4522
184 2.29375 0.52677 17.5535
185 2.30625 0.485889 17.6473
186 2.31875 0.546304 17.7535
187 2.33125 0.551735 17.8612
188 2.34375 0.473957 17.9543
189 2.35625 0.5831 18.0694
190 2.36875 0.612932 18.191
191 2.38125 0.642451 18.3192
192 2.39375 0.573965 18.4343
193 2.40625 0.566934 18.5486
194 2.41875 0.616376 18.6735
195 2.43125 0.693365 18.8147
196 2.44375 0.633995 18.9445
197 2.45625 0.646637 19.0776
198 2.46875 0.68678 19.2196
199 2.48125 0.734372 19.3722
200 2.49375 0.761951 19.5314
1000 200
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
7 0.08125 0 0
8 0.09375 0 0
9 0.10625 0 0
10 0.11875 0 0
11 0.13125 0 0
12 0.14375 0 0
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0 0
69 0.85625 0.0569003 0.00408163
70 0.86875 0.0785143 0.00979592
71 0.88125 0.497575 0.0465306
72 0.89375 0.981232 0.12
73 0.90625 1.90314 0.26449
74 0.91875 2.46057 0.453878
75 0.93125 3.30648 0.711837
76 0.94375 4.37778 1.05796
77 0.95625 4.72816 1.43673
78 0.96875 4.41569 1.7951
79 0.98125 4.94533 2.20163
80 0.99375 4.26538 2.55673
81 1.00625 4.77404 2.95918
82 1.01875 3.95984 3.29714
83 1.03125 3.61893 3.6098
84 1.04375 3.09947 3.88082
85 1.05625 2.5923 4.1102
86 1.06875 2.43434 4.32816
87 1.08125 2.04571 4.51347
88 1.09375 1.79961 4.67837
89 1.10625 1.55907 4.82286
90 1.11875 1.37616 4.95184
91 1.13125 1.16284 5.06204
92 1.14375 1.05642 5.16327
93 1.15625 0.969151 5.25714
94 1.16875 0.775366 5.33306
95 1.18125 0.791908 5.41143
96 1.19375 0.538736 5.46531
97 1.20625 0.500841 5.51592
98 1.21875 0.383771 5.5551
99 1.23125 0.300734 5.58612
